active_proc,uptime,cpu_percent,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_count_logical,cpu_count_physical,mem_available,mem_used,mem_percent,disk_total,disk_used,disk_free,disk_percent,swap_mem_used,swap_mem_free,swap_mem_percent,failure_warning
542,112535.76,16.7,644969,794583,230475291,1138029,8,4,7303159808,7769489408,57.5,500068036608,15324188672,8468860928,64.4,5157158912,1285292032,80.0,0
542,112537.77,10.8,626275,828524,230484694,1138081,8,4,7226802176,7841304576,57.9,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
542,112539.78,12.5,623184,839594,230487914,1138111,8,4,7214264320,7853195264,58.0,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
542,112541.80,14.5,611789,841475,230504009,1138043,8,4,7167311872,7899189248,58.3,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112543.81,7.4,616766,834280,230513371,1138348,8,4,7188946944,7871025152,58.2,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112545.83,4.5,623026,828757,230514150,1137315,8,4,7210356736,7848407040,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112547.84,4.2,625728,826537,230515457,1137316,8,4,7221428224,7836516352,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112549.86,3.9,625265,820010,230515990,1137315,8,4,7219527680,7836979200,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112551.87,11.5,625935,801617,230517897,1137290,8,4,7222169600,7835074560,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
542,112553.89,7.5,622629,802209,230521603,1137290,8,4,7208628224,7839166464,58.0,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
544,112555.90,12.5,618233,805027,230528554,1137449,8,4,7191273472,7854260224,58.1,500068036608,15324188672,8468283392,64.4,5157158912,1285292032,80.0,0
543,112557.91,14.5,617902,770488,230534586,1137555,8,4,7190351872,7855161344,58.1,500068036608,15324188672,8468279296,64.4,5157158912,1285292032,80.0,0
543,112559.93,3.8,618001,770452,230535163,1137555,8,4,7190757376,7855730688,58.1,500068036608,15324188672,8468287488,64.4,5157158912,1285292032,80.0,0
543,112561.94,7.9,628758,796283,230537017,1137137,8,4,7233105920,7802974208,57.9,500068036608,15324188672,8468058112,64.4,5123604480,1318846464,79.5,0
543,112563.95,14.7,629686,805242,230546569,1137267,8,4,7237439488,7798751232,57.9,500068036608,15324188672,8467845120,64.4,5123604480,1318846464,79.5,0
543,112565.96,13.0,614652,802070,230554142,1138052,8,4,7179075584,7806431232,58.2,500068036608,15324188672,8467255296,64.4,5090050048,1352400896,79.0,0
543,112567.97,9.1,604474,802059,230561307,1138105,8,4,7137603584,7837954048,58.5,500068036608,15324188672,8467218432,64.4,5090050048,1352400896,79.0,0
543,112569.99,13.2,583817,839517,230569362,1138666,8,4,7055290368,7919112192,58.9,500068036608,15324188672,8467017728,64.4,5090050048,1352400896,79.0,0
543,112572.00,5.7,583147,835194,230572113,1138724,8,4,7052783616,7920332800,58.9,500068036608,15324188672,8467005440,64.4,5090050048,1352400896,79.0,0
543,112574.02,3.7,593174,826024,230572887,1138204,8,4,7091724288,7881150464,58.7,500068036608,15324188672,8467009536,64.4,5090050048,1352400896,79.0,0
543,112576.04,4.5,591302,824003,230578580,1138207,8,4,7084068864,7889530880,58.8,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
542,112578.05,11.4,580559,835287,230581447,1137383,8,4,7036690432,7935803392,59.0,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112580.06,4.1,581502,835262,230582748,1137381,8,4,7040544768,7931764736,59.0,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112582.08,5.9,595794,819779,230584581,1137312,8,4,7098802176,7871660032,58.7,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112584.09,9.1,583870,828372,230587626,1138042,8,4,7052951552,7917088768,58.9,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112586.11,4.0,584863,827385,230588933,1137353,8,4,7054196736,7915302912,58.9,500068036608,15324188672,8466743296,64.4,5090050048,1352400896,79.0,0
541,112588.13,8.3,585676,824806,230592231,1137852,8,4,7059570688,7910203392,58.9,500068036608,15324188672,8466739200,64.4,5090050048,1352400896,79.0,0
541,112590.14,5.6,585865,785642,230593866,1137788,8,4,7060082688,7909888000,58.9,500068036608,15324188672,8466739200,64.4,5090050048,1352400896,79.0,0
543,112592.15,12.6,582196,788242,230601256,1138108,8,4,7046373376,7921688576,59.0,500068036608,15324188672,8466735104,64.4,5090050048,1352400896,79.0,0
549,112594.16,18.4,587917,778066,230615761,1138315,8,4,7070646272,7896924160,58.8,500068036608,15324188672,8466583552,64.4,5090050048,1352400896,79.0,0
550,112596.17,14.1,580892,786043,230624751,1138519,8,4,7042707456,7925313536,59.0,500068036608,15324188672,8466571264,64.4,5090050048,1352400896,79.0,0
549,112598.19,13.4,584221,784719,230636517,1138621,8,4,7056760832,7910252544,58.9,500068036608,15324188672,8466554880,64.4,5022941184,1419509760,78.0,0
548,112600.20,16.0,588173,801917,230646273,1132710,8,4,7048736768,7917088768,59.0,500068036608,15324188672,8477208576,64.4,5022941184,1419509760,78.0,0
547,112602.21,18.4,591467,801861,230658448,1132864,8,4,7062859776,7900426240,58.9,500068036608,15324188672,8476979200,64.4,5022941184,1419509760,78.0,0
547,112604.22,15.4,597819,797305,230665453,1132507,8,4,7087415296,7852236800,58.7,500068036608,15324188672,8480874496,64.4,5022941184,1419509760,78.0,0
547,112606.23,24.4,521743,807979,230679934,1132615,8,4,6776250368,8018579456,60.6,500068036608,15324188672,8480436224,64.4,4821614592,1620836352,74.8,0
547,112608.24,15.2,505280,813941,230696219,1132608,8,4,6708789248,8088322048,60.9,500068036608,15324188672,8480456704,64.4,4821614592,1620836352,74.8,0
546,112610.26,18.0,767624,772310,230720224,1102015,8,4,7658041344,7337578496,55.4,500068036608,15324188672,8480317440,64.4,4754505728,1687945216,73.8,0
546,112612.27,5.1,766128,793471,230720816,1102069,8,4,7652134912,7343513600,55.5,500068036608,15324188672,8480317440,64.4,4754505728,1687945216,73.8,0
546,112614.28,13.2,738906,801101,230725261,1102411,8,4,7542034432,7420944384,56.1,500068036608,15324188672,8480256000,64.4,4687396864,1755054080,72.8,0
547,112616.30,11.0,708359,853961,230755383,1076325,8,4,7310065664,7652052992,57.4,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112618.32,5.8,722288,835421,230757544,1076534,8,4,7367974912,7593959424,57.1,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112620.33,9.8,705988,845632,230758264,1076537,8,4,7301222400,7660511232,57.5,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112622.35,10.6,684677,846973,230758923,1076540,8,4,7213944832,7748853760,58.0,500068036608,15324188672,8480251904,64.4,4687396864,1755054080,72.8,0
547,112624.36,3.0,692744,837812,230759945,1076531,8,4,7246950400,7716372480,57.8,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
547,112626.38,4.4,695836,843162,230764499,1076521,8,4,7259574272,7702564864,57.7,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
545,112628.39,6.9,754068,797345,230767123,1076428,8,4,7497711616,7464693760,56.4,500068036608,15324188672,8480247808,64.4,4687396864,1755054080,72.8,0
545,112630.41,14.7,724080,803700,230784259,1076815,8,4,7376465920,7586398208,57.1,500068036608,15324188672,8479776768,64.4,4687396864,1755054080,72.8,0
545,112632.42,5.7,723172,801271,230786217,1076826,8,4,7372791808,7590555648,57.1,500068036608,15324188672,8479641600,64.4,4687396864,1755054080,72.8,0
545,112634.44,5.1,723431,782759,230787386,1076887,8,4,7374102528,7588593664,57.1,500068036608,15324188672,8479641600,64.4,4687396864,1755054080,72.8,0
541,112636.45,13.1,707574,763569,230790236,1094564,8,4,7381557248,7580209152,57.0,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112638.46,17.5,684709,763648,230790925,1116893,8,4,7379361792,7580971008,57.0,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112640.47,18.8,666564,764646,230792782,1130692,8,4,7361560576,7593115648,57.2,500068036608,15324188672,8479342592,64.4,4687396864,1755054080,72.8,0
541,112642.49,16.4,514593,938872,230800552,1130216,8,4,6737137664,8141545472,60.8,500068036608,15324188672,8475000832,64.4,4553179136,1889271808,70.7,0
542,112644.50,25.9,489535,939689,230814328,1136618,8,4,6660722688,8172204032,61.2,500068036608,15324188672,8475484160,64.4,4519624704,1922826240,70.2,0
542,112646.51,17.4,465346,928067,230823755,1150666,8,4,6619185152,8210251776,61.5,500068036608,15324188672,8472580096,64.4,4458807296,1983643648,69.2,0
539,112648.52,13.8,463393,927714,230827905,1151233,8,4,6613508096,8214323200,61.5,500068036608,15324188672,8472932352,64.4,4459069440,909639680,83.1,0
540,112650.53,18.1,455359,924365,230835948,1152985,8,4,6587777024,8237785088,61.7,500068036608,15324188672,9546944512,61.6,4459069440,909639680,83.1,0
543,112652.54,19.0,441305,926506,230844492,1157848,8,4,6550130688,8272322560,61.9,500068036608,15324188672,9546240000,61.6,4459069440,909639680,83.1,0
541,112654.55,16.3,423400,925983,230846121,1174018,8,4,6543024128,8278904832,61.9,500068036608,15324188672,9538113536,61.6,4459069440,909639680,83.1,0
544,112656.56,27.8,379933,933506,230875313,1187700,8,4,6421024768,8397967360,62.6,500068036608,15324188672,9537937408,61.6,4459069440,909639680,83.1,0
544,112658.58,16.3,370483,938056,230887896,1197450,8,4,6422253568,8395833344,62.6,500068036608,15324188672,9529335808,61.7,4459069440,909639680,83.1,0
547,112660.60,24.1,324272,937088,230928642,1208065,8,4,6276567040,8538832896,63.5,500068036608,15324188672,9526489088,61.7,4459069440,909639680,83.1,0
548,112662.62,39.2,272065,836208,230996776,1218699,8,4,6106169344,8706023424,64.5,500068036608,15324188672,9525788672,61.7,4391960576,976748544,81.8,0
551,112664.63,26.9,236670,825331,231049592,1220199,8,4,5967335424,8830406656,65.3,500068036608,15324188672,9525161984,61.7,4358406144,1010302976,81.2,0
551,112666.64,15.3,227800,772229,231060792,1221979,8,4,5938302976,8866099200,65.4,500068036608,15324188672,9524924416,61.7,4324851712,1043857408,80.6,0
551,112668.66,9.5,231462,769117,231062782,1222086,8,4,5953732608,8849985536,65.3,500068036608,15324188672,9524826112,61.7,4324851712,1043857408,80.6,0
551,112670.67,22.8,277571,778762,231125150,1223332,8,4,6147698688,8940584960,64.2,500068036608,15324188672,9523224576,61.7,4324851712,1043857408,80.6,0
551,112672.68,17.8,277537,781203,231131130,1221491,8,4,6140018688,8948207616,64.3,500068036608,15324188672,9523060736,61.7,4324851712,1043857408,80.6,0
551,112674.70,18.0,253875,791274,231159934,1221558,8,4,6043373568,9044348928,64.8,500068036608,15324188672,9522831360,61.7,4324851712,1043857408,80.6,0
551,112676.71,22.3,246842,798145,231177474,1221696,8,4,6015131648,9071595520,65.0,500068036608,15324188672,9523027968,61.7,4324851712,1043857408,80.6,0
551,112678.73,19.2,245790,789308,231179162,1221720,8,4,6010920960,9075044352,65.0,500068036608,15324188672,9522798592,61.7,4324851712,1043857408,80.6,0
